[2026-03-30T01:29:48.704Z] SERVER STARTING...
[2026-03-30T01:29:48.884Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T01:29:48.885Z] [Mount] User API Routes -> /api
[2026-03-30T04:59:53.590Z] SERVER STARTING...
[2026-03-30T04:59:53.716Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T04:59:53.716Z] [Mount] User API Routes -> /api
[2026-03-30T05:14:51.905Z] [REQUEST] GET /js/modules/api.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.906Z] [REQUEST] GET /js/modules/script.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.907Z] [REQUEST] GET /js/modules/admin.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.912Z] [REQUEST] GET /js/modules/samples.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.915Z] [REQUEST] GET /js/modules/constants.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.924Z] [REQUEST] GET /api/samples | Auth: NO | Guest: NO
[2026-03-30T05:14:51.944Z] [REQUEST] GET /favicon.ico | Auth: NO | Guest: NO
[2026-03-30T05:14:51.946Z] [SPA Fallback] Serving index.html for unknown path: /favicon.ico
[2026-03-30T05:14:56.180Z] [REQUEST] GET /api/auth/google | Auth: NO | Guest: NO
[2026-03-30T05:14:56.182Z] [Auth] Google Login requested from: http://localhost:8081/
[2026-03-30T05:14:56.183Z] [Auth] Generated OAuth URL: https://stfonaiuxavzbqwikcqb.supabase.co/auth/v1/a...
[2026-03-30T05:14:57.098Z] [REQUEST] GET / | Auth: NO | Guest: NO
[2026-03-30T05:14:57.169Z] [REQUEST] GET /css/style.css | Auth: NO | Guest: NO
[2026-03-30T05:14:57.174Z] [REQUEST] GET /js/app.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.221Z] [REQUEST] GET /assets/img/hero_premium.png | Auth: NO | Guest: NO
[2026-03-30T05:14:57.324Z] [REQUEST] GET /js/modules/state.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.325Z] [REQUEST] GET /js/modules/auth.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.327Z] [REQUEST] GET /js/modules/navigation.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.329Z] [REQUEST] GET /js/modules/wizard.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.331Z] [REQUEST] GET /js/modules/projects_list.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.338Z] [REQUEST] GET /js/modules/dashboard.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.340Z] [REQUEST] GET /js/modules/settings.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.343Z] [REQUEST] GET /js/modules/api.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.345Z] [REQUEST] GET /js/modules/script.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.353Z] [REQUEST] GET /js/modules/admin.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.355Z] [REQUEST] GET /js/modules/samples.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.359Z] [REQUEST] GET /js/modules/constants.js | Auth: NO | Guest: NO
[2026-03-30T05:14:57.369Z] [REQUEST] GET /api/samples | Auth: NO | Guest: NO
[2026-03-30T05:14:57.480Z] [REQUEST] GET /api/profile | Auth: YES | Guest: NO
[2026-03-30T05:14:57.766Z] [REQUEST] GET /api/projects | Auth: YES | Guest: NO
[2026-03-30T05:15:11.516Z] [REQUEST] GET /api/projects | Auth: YES | Guest: NO
[2026-03-30T05:15:12.506Z] [REQUEST] GET /favicon.ico | Auth: NO | Guest: NO
[2026-03-30T05:15:12.508Z] [SPA Fallback] Serving index.html for unknown path: /favicon.ico
[2026-03-30T05:15:12.520Z] [REQUEST] GET /favicon.ico | Auth: NO | Guest: NO
[2026-03-30T05:15:12.522Z] [SPA Fallback] Serving index.html for unknown path: /favicon.ico
[2026-03-30T05:15:15.039Z] [REQUEST] GET /api/profile | Auth: YES | Guest: NO
[2026-03-30T05:15:15.290Z] [REQUEST] GET /api/admin/stats | Auth: YES | Guest: NO
[2026-03-30T05:15:15.294Z] [REQUEST] GET /api/admin/projects | Auth: YES | Guest: NO
[2026-03-30T05:15:15.299Z] [REQUEST] GET /api/admin/health | Auth: YES | Guest: NO
